Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2012,188499,HAY GRAIN ,999, State Totals ,220022,3.19,700045,156.1, ,109733600
2012,195299,HAY GREEN CHOP ,65,Riverside ,11000,13.73,151000,54.68,Tons ,8257000
2012,195299,HAY GREEN CHOP ,71,San Bernardino ,3290,27.02,88900,46.6,Tons ,4143000
2012,195299,HAY GREEN CHOP ,97,Sonoma ,2890,7.79,22500,17.69,Tons ,398000
2012,195299,HAY GREEN CHOP ,999, State Totals ,17180,15.27,262400,48.77, ,12798000
2012,188999,HAY OTHER UNSPECIFIED ,1,Alameda ,5240,1.52,7970,157.09,Tons ,1252000
2012,188999,HAY OTHER UNSPECIFIED ,3,Alpine ,150,2,300,200,Tons ,60000
2012,188999,HAY OTHER UNSPECIFIED ,5,Amador ,457, , , , ,149000
2012,188999,HAY OTHER UNSPECIFIED ,15,Del Norte ,2600,2.6,6760,175,Tons ,1183000
2012,188999,HAY OTHER UNSPECIFIED ,17,El Dorado ,225,1.33,299,205.02,Tons ,61300
2012,188999,HAY OTHER UNSPECIFIED ,21,Glenn ,2070,1.61,3330,149.85,Tons ,499000
2012,188999,HAY OTHER UNSPECIFIED ,23,Humboldt ,10600,3.09,32800,214.7,Tons ,7042000
2012,188999,HAY OTHER UNSPECIFIED ,25,Imperial ,60900,7.62,464000,216.91,TONS ,100645000
2012,188999,HAY OTHER UNSPECIFIED ,27,Inyo ,1725,4,6900,230,Tons ,1587000
2012,188999,HAY OTHER UNSPECIFIED ,29,Kern ,9200,6.86,63100,154.88,Tons ,9773000
2012,188999,HAY OTHER UNSPECIFIED ,35,Lassen ,31000,3.61,112000,196.46,Tons ,22003000
2012,188999,HAY OTHER UNSPECIFIED ,41,Marin ,2010,2.4,4830,114.49,Tons ,553000
2012,188999,HAY OTHER UNSPECIFIED ,51,Mono ,4980,4,19900,230.25,Tons ,4582000
2012,188999,HAY OTHER UNSPECIFIED ,65,Riverside ,4150,8.1,33600,171.49,Tons ,5762000
2012,188999,HAY OTHER UNSPECIFIED ,67,Sacramento ,2580,2.74,7080,205.37,Tons ,1454000
2012,188999,HAY OTHER UNSPECIFIED ,71,San Bernardino ,2250,3.31,7450,216.38,Tons ,1612000
2012,188999,HAY OTHER UNSPECIFIED ,77,San Joaquin ,6600,4,26400,169.02,Tons ,4462000
2012,188999,HAY OTHER UNSPECIFIED ,89,Shasta ,19900,4.02,79900,214.16,Tons ,17111000
2012,188999,HAY OTHER UNSPECIFIED ,93,Siskiyou ,12000,5.21,62500,199.76,Tons ,12485000
2012,188999,HAY OTHER UNSPECIFIED ,99,Stanislaus ,12300,3.43,42200,188.01,Tons ,7934000
2012,188999,HAY OTHER UNSPECIFIED ,101,Sutter ,539,4.92,2650,193.58,Tons ,513000
2012,188999,HAY OTHER UNSPECIFIED ,103,Tehama ,2000,3.7,7400,162.03,TONS ,1199000
2012,188999,HAY OTHER UNSPECIFIED ,109,Tuolumne ,300,2.3,690,200,Tons ,138000
2012,188999,HAY OTHER UNSPECIFIED ,115,Yuba ,2000,3.4,6800,100,Tons ,680000
2012,188999,HAY OTHER UNSPECIFIED ,991,Sum of Others ,1790,4.58,8192,145.39,Tons ,1191000
2012,188999,HAY OTHER UNSPECIFIED ,999, State Totals ,197566,5.11,1007051,202.35, ,203930300
2012,188899,HAY SUDAN ,25,Imperial ,63800,5.47,349000,185.35,TONS ,64686000
