id,name,type,year,variable,value
310M200US29100,"La Crosse-Onalaska, WI-MN Metro Area",metro,"2,015",per_capita_gdp_percent_change,8.749139098
310M200US29200,"Lafayette-West Lafayette, IN Metro Area",metro,"2,012",per_capita_gdp,"40,880"
310M200US20020,"Dothan, AL Metro Area",metro,"2,001",per_capita_gdp,"32,130"
310M200US17020,"Chico, CA Metro Area",metro,"2,003",per_capita_gdp_percent_change,6.5418862439
310M200US42100,"Santa Cruz-Watsonville, CA Metro Area",metro,"2,017",per_capita_gdp,"41,613"
0400000US08,Colorado State,state,"2,017",per_capita_gdp_percent_change,-4.9930789005
310M200US18700,"Corvallis, OR Metro Area",metro,"2,017",per_capita_gdp_percent_change,-29.0158346
310M200US31140,"Louisville/Jefferson County, KY-IN Metro Area",metro,"2,003",per_capita_gdp_percent_change,40.2298142386
0400000US26,Michigan State,state,"2,015",per_capita_gdp,"44,370"
310M200US27900,"Joplin, MO Metro Area",metro,"2,002",per_capita_gdp,"33,371"
310M200US27780,"Johnstown, PA Metro Area",metro,"2,008",per_capita_gdp,"28,206"
0400000US48,Texas State,state,"2,007",per_capita_gdp_percent_change,13.5798797714
0400000US16,Idaho State,state,"2,000",per_capita_gdp,"36,419"
310M200US21340,"El Paso, TX Metro Area",metro,"2,008",per_capita_gdp_percent_change,-13.236672708
310M200US19780,"Des Moines-West Des Moines, IA Metro Area",metro,"2,017",per_capita_gdp_percent_change,91.1224130117
310M200US30020,"Lawton, OK Metro Area",metro,"2,017",per_capita_gdp,"35,310"
310M200US31460,"Madera, CA Metro Area",metro,"2,002",per_capita_gdp_percent_change,-22.5130548303
310M200US12940,"Baton Rouge, LA Metro Area",metro,"2,011",per_capita_gdp_percent_change,-3.4067318441
310M200US12260,"Augusta-Richmond County, GA-SC Metro Area",metro,"2,017",per_capita_gdp,"34,843"
310M200US36500,"Olympia-Tumwater, WA Metro Area",metro,"2,013",per_capita_gdp_percent_change,-19.8644174681
310M200US36220,"Odessa, TX Metro Area",metro,"2,015",per_capita_gdp,"58,893"
310M200US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",metro,"2,005",per_capita_gdp_percent_change,43.3202387949
310M200US10420,"Akron, OH Metro Area",metro,"2,010",per_capita_gdp,"41,143"
0400000US41,Oregon State,state,"2,002",per_capita_gdp,"39,761"
310M200US33660,"Mobile, AL Metro Area",metro,"2,007",per_capita_gdp,"41,180"
310M200US44060,"Spokane-Spokane Valley, WA Metro Area",metro,"2,003",per_capita_gdp_percent_change,13.2851708596
310M200US25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",metro,"2,010",per_capita_gdp,"40,314"
310M200US49020,"Winchester, VA-WV Metro Area",metro,"2,008",per_capita_gdp,"38,033"
0400000US34,New Jersey State,state,"2,007",per_capita_gdp_percent_change,47.7727471885
310M200US30860,"Logan, UT-ID Metro Area",metro,"2,016",per_capita_gdp_percent_change,17.3598224357
310M200US36780,"Oshkosh-Neenah, WI Metro Area",metro,"2,003",per_capita_gdp_percent_change,11.4185735992
310M200US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",metro,"2,005",per_capita_gdp_percent_change,-4.6215808994
310M200US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",metro,"2,014",per_capita_gdp_percent_change,34.655149413
310M200US10740,"Albuquerque, NM Metro Area",metro,"2,015",per_capita_gdp_percent_change,-9.5684030262
0400000US41,Oregon State,state,"2,008",per_capita_gdp,"46,157"
310M200US46340,"Tyler, TX Metro Area",metro,"2,006",per_capita_gdp_percent_change,79.5435137024
0400000US53,Washington State,state,"2,007",per_capita_gdp_percent_change,6.2461426756
310M200US11100,"Amarillo, TX Metro Area",metro,"2,009",per_capita_gdp_percent_change,49.2685885543
310M200US24220,"Grand Forks, ND-MN Metro Area",metro,"2,016",per_capita_gdp,"48,153"
310M200US44420,"Staunton-Waynesboro, VA Metro Area",metro,"2,014",per_capita_gdp_percent_change,33.7772487166
310M200US17020,"Chico, CA Metro Area",metro,"2,014",per_capita_gdp_percent_change,16.903965994
310M200US41700,"San Antonio-New Braunfels, TX Metro Area",metro,"2,007",per_capita_gdp,"40,187"
0400000US37,North Carolina State,state,"2,012",per_capita_gdp,"45,060"
0400000US08,Colorado State,state,"2,012",per_capita_gdp,"52,739"
310M200US33860,"Montgomery, AL Metro Area",metro,"2,002",per_capita_gdp_percent_change,60.256205603
310M200US47460,"Walla Walla, WA Metro Area",metro,"2,012",per_capita_gdp,"38,043"
310M200US46660,"Valdosta, GA Metro Area",metro,"2,008",per_capita_gdp,"31,634"
310M200US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",metro,"2,004",per_capita_gdp,"56,507"
310M200US25980,"Hinesville, GA Metro Area",metro,"2,010",per_capita_gdp,"42,730"
310M200US33860,"Montgomery, AL Metro Area",metro,"2,017",per_capita_gdp,"40,596"
310M200US31340,"Lynchburg, VA Metro Area",metro,"2,014",per_capita_gdp,"32,272"
310M200US24420,"Grants Pass, OR Metro Area",metro,"2,014",per_capita_gdp_percent_change,-45.4653682231
310M200US11260,"Anchorage, AK Metro Area",metro,"2,010",per_capita_gdp_percent_change,123.1112413703
310M200US15940,"Canton-Massillon, OH Metro Area",metro,"2,009",per_capita_gdp,"30,974"
310M200US44060,"Spokane-Spokane Valley, WA Metro Area",metro,"2,015",per_capita_gdp_percent_change,-0.6359259545
310M200US20020,"Dothan, AL Metro Area",metro,"2,002",per_capita_gdp_percent_change,69.3157712989
310M200US40660,"Rome, GA Metro Area",metro,"2,004",per_capita_gdp,"38,196"
310M200US41500,"Salinas, CA Metro Area",metro,"2,011",per_capita_gdp,"40,388"
